ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
264,30/12/25,USD,500,9.55,"4,775.00",Efectivo,Sergio,900
265,31/12/25,CLP,20,9.70,194.00,Efectivo,Sergio,
266,31/12/25,CLP,80,9.70,776.00,Efectivo,Sergio,
267,31/12/25,USD,3000,9.60,"28,800.00",Efectivo,Sergio,
268,31/12/25,USD,300,9.60,"2,880.00",Efectivo,Sergio,
269,31/12/25,USD,50,9.60,480.00,Efectivo,Sergio,
270,31/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
271,31/12/25,USD,100,2.30,230.00,Efectivo,Sergio,850
272,31/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
273,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,68978,9.12,"646,288.70",,,
