ID,Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
81,15/12/25,USD,100.00,9.90,990.00,QR,Sergio,
82,16/12/25,USD,100.00,9.90,990.00,Efectivo,Sergio,
83,16/12/25,USD,400.00,9.50,"3,800.00",Efectivo,Sergio,
84,17/12/25,USD,"1,000.00",10.00,"10,000.00",Efectivo,Sergio,se debe cambiat 700 de blancos a los nuevos
85,17/12/25,USD,700.00,10.00,"7,000.00",Efectivo,Sergio,
86,17/12/25,USD,"2,000.00",9.88,"19,760.00",Efectivo,Sergio,
87,17/12/25,USD,600.00,9.85,"5,910.00",Efectivo,Sergio,12050
88,18/12/25,USD,"2,100.00",11.00,"23,100.00",Efectivo,Sergio,
89,20/12/25,USD,"1,800.00",11.00,"19,800.00",Efectivo,Sergio,
90,20/12/25,USD,60.00,10.40,624.00,Efectivo,Sergio,
91,20/12/25,USD,100.00,10.40,"1,040.00",Efectivo,Sergio,
92,22/12/25,USD,500.00,10.00,"5,000.00",Efectivo,Sergio,
93,23/12/25,USD,200.00,10.00,"2,000.00",Efectivo,Sergio,
94,23/12/25,ARS,96.70,8.50,821.95,Efectivo,Sergio,
95,24/12/25,USD,"1,000.00",10.00,"10,000.00",QR,Sergio,
96,25/12/25,USD,"1,000.00",10.00,"10,000.00",Efectivo,Sergio,
97,26/12/25,USD,150.00,9.50,"1,425.00",Efectivo,Sergio,
98,26/12/25,USD,300.00,10.00,"3,000.00",Efectivo,Sergio,
99,27/12/25,USD,100.00,10.00,"1,000.00",Efectivo,Sergio,
100,29/12/25,CLP ,460.00,11.00,"5,060.00",Efectivo,Sergio,
101,29/12/25,USD,100.00,10.00,"1,000.00",QR,Sergio,
102,30/12/25,USD,600.00,10.00,"6,000.00",Efectivo,Sergio,
103,31/12/25,USD,100.00,10.05,"1,005.00",Efectivo,Sergio,
104,31/12/25,USD,18.00,9.50,171.00,Efectivo,Sergio,
105,31/12/25,USD,50.00,9.60,480.00,Efectivo,Sergio,
106,31/12/25,USD,"3,000.00",10.00,"30,000.00",Efectivo,Sergio,
107,31/12/25,USD,10.00,10.00,100.00,Efectivo,Sergio,
108,31/12/25,USD,3.00,10.00,30.00,Efectivo,Sergio,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,30/12/25,,"82,896.70",10.00,"806,014.65",,,
