ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
77,24/11/25,CLP,20,9.00,180.00,Efectivo,Tiffani,
78,24/11/25,USD,100,9.90,990.00,Efectivo,Tiffani,rotito
79,24/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
80,24/11/25,USD,100,10.05,"1,005.00",Efectivo,Tiffani,
81,24/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
82,25/11/25,USD,20,9.00,180.00,Efectivo,Tiffani,
83,25/11/25,EUR,50,10.20,510.00,Efectivo,Tiffani,
84,25/11/25,CLP,40,9.00,360.00,Efectivo,Tiffani,
85,25/11/25,USD,100,9.00,900.00,Efectivo,Tiffani,
86,25/11/25,PEN,10,2.00,20.00,Efectivo,Tiffani,
87,25/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
88,25/11/25,EUR,50,10.20,510.00,Efectivo,Tiffani,8100
89,26/11/25,EUR,5,10.20,51.00,Efectivo,Tiffani,
90,26/11/25,USD,50,9.80,490.00,Efectivo,Tiffani,
91,26/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
92,26/11/25,CLP,40,9.00,360.00,Efectivo,Tiffani,
93,26/11/25,PEN,110,2.10,231.00,Efectivo,Tiffani,
94,26/11/25,USD,120,10.00,"1,200.00",Efectivo,Tiffani,
95,26/11/25,USD,80,9.00,720.00,Efectivo,Tiffani,
96,27/11/25,USD,50,9.80,490.00,Efectivo,Tiffani,
97,27/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
98,27/11/25,USD,50,9.80,490.00,Efectivo,Tiffani,
99,27/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
100,28/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
101,28/11/25,CLP,6,9.20,55.20,Efectivo,Tiffani,
102,28/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
103,28/11/25,USD,700,9.90,"6,930.00",Efectivo,Tiffani,
104,28/11/25,USD,200,9.80,"1,960.00",Efectivo,Tiffani,
105,28/11/25,USD,100,9.80,980.00,Efectivo,Tiffani,
106,1/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
107,1/11/25,USD,2000,10.30,"20,600.00",Efectivo,Sergio,
108,3/11/25,USD,100,10.40,"1,040.00",Efectivo,Sergio,
109,3/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
110,3/11/25,USD,100,10.50,"1,050.00",Efectivo,Sergio,
111,3/11/25,USD,100,10.50,"1,050.00",Efectivo,Sergio,
112,4/11/25,USD,1000,10.50,"10,500.00",Efectivo,Sergio,
113,4/11/25,CLP,1,9.00,9.00,Efectivo,Sergio,
114,4/11/25,USD,650,10.50,"6,825.00",Efectivo,Sergio,
115,4/11/25,EUR,50,11.00,550.00,Efectivo,Sergio,
116,5/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
117,5/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
118,5/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
119,5/11/25,USD,100,10.60,"1,060.00",Efectivo,Sergio,
120,5/11/25,ARS,1,5.00,5.00,Efectivo,Sergio,
121,5/11/25,USD,500,10.50,"5,250.00",Efectivo,Sergio,
122,5/11/25,USD,1400,10.50,"14,700.00",Efectivo,Sergio,
123,5/11/25,USD,300,10.50,"3,150.00",Efectivo,Sergio,
124,5/11/25,USD,300,10.50,"3,150.00",Efectivo,Sergio,
125,5/11/25,USD,100,10.50,"1,050.00",Efectivo,Sergio,
126,5/11/25,USD,100,10.50,"1,050.00",Efectivo,Sergio,
127,5/11/25,USD,300,10.50,"3,150.00",Efectivo,Sergio,
128,5/11/25,USD,200,10.50,"2,100.00",Efectivo,Sergio,
129,6/11/25,USD,20,8.00,160.00,Efectivo,Sergio,
130,6/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
131,7/11/25,USD,200,10.00,"2,000.00",Efectivo,Sergio,
132,7/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
133,7/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
134,7/11/25,USD,150,10.00,"1,500.00",Efectivo,Sergio,
135,7/11/25,CLP,60,9.00,540.00,Efectivo,Sergio,
136,7/11/25,USD,700,10.00,"7,000.00",Efectivo,Sergio,
137,7/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
138,7/11/25,USD,50,10.00,500.00,Efectivo,Sergio,
139,7/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
140,8/11/25,EUR,100,10.30,"1,030.00",Efectivo,Sergio,
141,8/11/25,USD,1000,10.20,"10,200.00",Efectivo,Sergio,
142,8/11/25,USD,200,10.00,"2,000.00",Efectivo,Sergio,12300
143,10/11/25,PEN,100,2.50,250.00,Efectivo,Sergio,
144,10/11/25,PEN,50,2.50,125.00,Efectivo,Sergio,
145,10/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
146,10/11/25,USD,200,9.00,"1,800.00",Efectivo,Sergio,
147,10/11/25,USD,800,9.00,"7,200.00",Efectivo,Sergio,
148,11/11/25,USD,700,9.00,"6,300.00",Efectivo,Sergio,
149,11/11/25,USD,100,9.00,900.00,Efectivo,Sergio,
150,12/11/25,PEN,100,2.00,200.00,Efectivo,Sergio,
151,12/11/25,USD,100,9.00,900.00,Efectivo,Sergio,
152,12/11/25,PEN,120,2.00,240.00,Efectivo,Sergio,
153,12/11/25,USD,50,9.00,450.00,Efectivo,Sergio,
154,12/11/25,USD,500,9.00,"4,500.00",Efectivo,Sergio,
155,12/11/25,USD,300,9.50,"2,850.00",Efectivo,Sergio,
156,12/11/25,EUR,50,10.00,500.00,Efectivo,Sergio,
157,12/11/25,USD,5,8.00,40.00,Efectivo,Sergio,
158,12/11/25,ARS,13,4.00,52.00,Efectivo,Sergio,950
159,13/11/25,USD,500,9.30,"4,650.00",Efectivo,Sergio,
160,13/11/25,USD,100,9.50,950.00,Efectivo,Sergio,
161,13/11/25,EUR,100,10.50,"1,050.00",Efectivo,Sergio,
162,13/11/25,USD,200,9.50,"1,900.00",Efectivo,Sergio,
163,13/11/25,EUR,100,10.50,"1,050.00",Efectivo,Sergio,
164,14/11/25,USD,50,9.80,490.00,Efectivo,Sergio,
165,15/11/25,USD,500,9.50,"4,750.00",Efectivo,Sergio,
166,15/11/25,CLP,17,8.50,144.50,Efectivo,Sergio,
167,15/11/25,CLP,2,9.00,18.00,Efectivo,Sergio,
168,15/11/25,USD,100,9.50,950.00,Efectivo,Sergio,
169,17/11/25,USD,390,9.50,"3,705.00",Efectivo,Sergio,
170,17/11/25,USD,10,8.00,80.00,Efectivo,Sergio,
171,17/11/25,USD,100,9.50,950.00,Efectivo,Sergio,
172,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
173,17/11/25,USD,400,10.00,"4,000.00",Efectivo,Sergio,
174,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
175,17/11/25,USD,300,10.00,"3,000.00",Efectivo,Sergio,
176,17/11/25,PEN,20,2.00,40.00,Efectivo,Sergio,
177,17/11/25,PEN,30,2.00,60.00,Efectivo,Sergio,
178,17/11/25,USD,110,10.00,"1,100.00",Efectivo,Sergio,
179,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
180,18/11/25,USD,150,10.50,"1,575.00",Efectivo,Sergio,
181,18/11/25,USD,75,9.00,675.00,Efectivo,Sergio,
182,18/11/25,USD,2100,10.00,"21,000.00",Efectivo,Sergio,
183,18/11/25,PEN,10,2.00,20.00,Efectivo,Sergio,
184,18/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
185,18/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
186,18/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
187,18/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
188,18/11/25,USD,150,10.00,"1,500.00",Efectivo,Sergio,
189,18/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
190,19/11/25,PEN,50,2.00,100.00,Efectivo,Sergio,
191,19/11/25,USD,100,9.90,990.00,Efectivo,Sergio,
192,19/11/25,USD,100,9.90,990.00,Efectivo,Sergio,
193,19/11/25,USD,400,9.90,"3,960.00",Efectivo,Sergio,
194,19/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
195,19/11/25,USD,380,8.80,"3,344.00",Efectivo,Sergio,
196,20/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
197,20/11/25,USD,50,10.00,500.00,Efectivo,Sergio,
198,20/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
199,20/11/25,USD,50,9.80,490.00,Efectivo,Sergio,
200,20/11/25,USD,200,9.80,"1,960.00",Efectivo,Sergio,
201,20/11/25,USD,200,9.80,"1,960.00",Efectivo,Sergio,
202,20/11/25,USD,200,9.80,"1,960.00",Efectivo,Sergio,12200
203,21/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
204,21/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
205,21/11/25,EUR,100,10.40,"1,040.00",Efectivo,Sergio,
206,21/11/25,USD,20,10.00,200.00,Efectivo,Sergio,
207,22/11/25,USD,100,9.80,980.00,Efectivo,Sergio,8400
208,22/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
209,22/11/25,CLP,144,9.00,"1,296.00",Efectivo,Sergio,
210,22/11/25,USD,20,9.00,180.00,Efectivo,Sergio,
211,24/11/25,CLP,70,9.00,630.00,Efectivo,Sergio,
212,24/11/25,USD,200,9.00,"1,800.00",Efectivo,Sergio,cbb2
213,24/11/25,USD,100,9.80,980.00,Efectivo,Sergio,rotito
214,24/11/25,CLP,1,9.00,9.00,Efectivo,Sergio,
215,24/11/25,USD,10,9.00,90.00,Efectivo,Sergio,
216,24/11/25,USD,700,9.00,"6,300.00",Efectivo,Sergio,
217,24/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
218,24/11/25,USD,3000,10.00,"30,000.00",Efectivo,Sergio,11350
219,25/11/25,EUR,50,10.50,525.00,Efectivo,Sergio,
220,25/11/25,USD,10,9.00,90.00,Efectivo,Sergio,
221,25/11/25,PEN,100,2.10,210.00,Efectivo,Sergio,
222,25/11/25,USD,50,9.80,490.00,Efectivo,Sergio,
223,26/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
224,26/11/25,USD,100,10.00,"1,000.00",Efectivo,Sergio,
225,26/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
226,26/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
227,26/11/25,EUR,50,10.20,510.00,Efectivo,Sergio,450
228,27/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
229,27/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
230,27/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
231,27/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
232,27/11/25,USD,100,9.80,980.00,Efectivo,Sergio,1050
233,28/11/25,CLP,180,9.00,"1,620.00",Efectivo,Sergio,
234,28/11/25,BRL,102,1.30,132.60,Efectivo,Sergio,
235,28/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
236,28/11/25,USD,100,9.80,980.00,Efectivo,Sergio,
237,28/11/25,USD,200,9.90,"1,980.00",Efectivo,Sergio,
238,28/11/25,USD,100,9.40,940.00,Efectivo,Sergio,roto franja
239,29/11/25,USD,400,9.80,"3,920.00",Efectivo,Sergio,
,,,51094,9.80,"499,420.20",,,
,,,,Bs9.80,,,,
