Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
7/5/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Tiffani,
7/5/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Tiffani,
7/5/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Tiffani,
7/5/2025,CLP ,10,Bs13.50,Bs135.00,Efectivo,Sergio,
7/5/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Sergio,
7/6/2025,USD,6000,Bs14.00,"Bs84,000.00",Efectivo,Tiffani,
7/7/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/7/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/7/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/7/2025,USD,50,Bs14.30,Bs715.00,Efectivo,Tiffani,
7/7/2025,USD,300,Bs14.30,"Bs4,290.00",Efectivo,Tiffani,
7/7/2025,USD,10,Bs13.00,Bs130.00,Efectivo,Tiffani,
7/7/2025,CLP ,70,Bs14.00,Bs980.00,Efectivo,Sergio,
7/7/2025,USD,1,Bs7.00,Bs7.00,Efectivo,Sergio,
7/7/2025,USD,10,Bs12.00,Bs120.00,Efectivo,Sergio,
7/8/2025,USD,100,Bs14.40,"Bs1,440.00",Efectivo,Tiffani,
7/8/2025,USD,100,Bs14.40,"Bs1,440.00",Efectivo,Tiffani,
7/8/2025,USD,150,Bs14.40,"Bs2,160.00",Efectivo,Sergio,
7/8/2025,USD,200,Bs14.40,"Bs2,880.00",Efectivo,Sergio,
7/8/2025,USD,4,Bs11.00,Bs44.00,Efectivo,Sergio,
7/8/2025,USD,20,Bs12.00,Bs240.00,Efectivo,Sergio,
7/8/2025,USD,3,Bs10.00,Bs30.00,Efectivo,Sergio,
7/8/2025,USD,300,Bs14.50,"Bs4,350.00",Efectivo,Sergio,
7/9/2025,USD,1,Bs10.00,Bs10.00,Efectivo,Tiffani,
7/9/2025,USD,20,Bs12.00,Bs240.00,Efectivo,Tiffani,
7/9/2025,EUR,50,Bs16.00,Bs800.00,Efectivo,Sergio,
7/9/2025,USD,100,Bs14.60,"Bs1,460.00",Efectivo,Sergio,
7/10/2025,CLP ,48,Bs14.00,Bs672.00,Efectivo,Tiffani,
7/10/2025,USD,100,Bs14.80,"Bs1,480.00",Efectivo,Tiffani,
7/10/2025,USD,100,Bs14.80,"Bs1,480.00",Efectivo,Tiffani,
7/10/2025,CLP ,70,Bs14.00,Bs980.00,Efectivo,Sergio,
7/11/2025,ARS,10,Bs6.00,Bs60.00,Efectivo,Tiffani,
7/11/2025,CLP ,10,Bs14.00,Bs140.00,Efectivo,Tiffani,
7/11/2025,EUR,50,Bs16.00,Bs800.00,Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.80,"Bs1,480.00",Efectivo,Tiffani,
7/11/2025,USD,1000,Bs14.20,"Bs14,200.00",Efectivo,Tiffani,
7/11/2025,USD,25,Bs14.20,Bs355.00,Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/11/2025,USD,50,Bs14.30,Bs715.00,Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Tiffani,
7/11/2025,USD,100,Bs14.40,"Bs1,440.00",Efectivo,Tiffani,
7/11/2025,USD,2,Bs10.00,Bs20.00,Efectivo,Sergio,
7/11/2025,USD,300,Bs14.20,"Bs4,260.00",Efectivo,Sergio,
7/11/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Sergio,
7/11/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Sergio,
7/11/2025,USD,200,Bs14.20,"Bs2,840.00",Efectivo,Sergio,
7/11/2025,USD,200,Bs14.20,"Bs2,840.00",Efectivo,Sergio,
7/12/2025,ARS,3,Bs6.00,Bs18.00,Efectivo,Tiffani,
7/12/2025,CLP ,20,Bs14.00,Bs280.00,Efectivo,Tiffani,
7/12/2025,EUR,100,Bs16.00,"Bs1,600.00",Efectivo,Tiffani,
7/12/2025,USD,100,Bs14.30,"Bs1,430.00",Efectivo,Tiffani,
7/12/2025,USD,30,Bs14.00,Bs420.00,Efectivo,Tiffani,Billete de 50
7/12/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/12/2025,USD,20,Bs12.00,Bs240.00,Efectivo,Tiffani,
7/12/2025,USD,50,Bs14.00,Bs700.00,Efectivo,Tiffani,
7/12/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/12/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/12/2025,USD,50,Bs14.00,Bs700.00,Efectivo,Sergio,
7/12/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Sergio,
7/14/2025,ARS,3,Bs6.00,Bs18.00,Efectivo,Tiffani,
7/14/2025,EUR,20,Bs16.00,Bs320.00,Efectivo,Tiffani,
7/14/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/14/2025,USD,1,Bs5.00,Bs5.00,Efectivo,Tiffani,
7/14/2025,USD,100,Bs14.50,"Bs1,450.00",Efectivo,Tiffani,
7/14/2025,USD,3000,Bs14.50,"Bs43,500.00",Efectivo,Tiffani,
7/14/2025,USD,700,Bs14.50,"Bs10,150.00",Efectivo,Tiffani,
7/14/2025,USD,300,Bs14.50,"Bs4,350.00",Efectivo,Tiffani,
7/14/2025,USD,1000,Bs14.50,"Bs14,500.00",Efectivo,Tiffani,
7/14/2025,USD,5500,Bs14.50,"Bs79,750.00",Efectivo,Tiffani,
7/14/2025,USD,50,Bs14.50,Bs725.00,Efectivo,Tiffani,
7/14/2025,USD,100,Bs14.50,"Bs1,450.00",Efectivo,Tiffani,
7/14/2025,USD,100,Bs14.50,"Bs1,450.00",Efectivo,Sergio,
7/14/2025,USD,50,Bs14.40,Bs720.00,Efectivo,Sergio,
7/14/2025,USD,10000,Bs14.50,"Bs145,000.00",Efectivo,Sergio,
7/15/2025,CLP ,20,Bs14.00,Bs280.00,Efectivo,Tiffani,
7/15/2025,CLP ,20,Bs14.00,Bs280.00,Efectivo,Tiffani,
7/15/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/15/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/15/2025,USD,200,Bs14.00,"Bs2,800.00",Efectivo,Tiffani,
7/15/2025,USD,200,Bs14.00,"Bs2,800.00",Efectivo,Tiffani,
7/15/2025,USD,300,Bs14.00,"Bs4,200.00",Efectivo,Sergio,
7/15/2025,USD,50,Bs14.10,Bs705.00,Efectivo,Sergio,
7/15/2025,USD,50,Bs14.00,Bs700.00,Efectivo,Sergio,
7/16/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/16/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
